"V2","typ"
"TEX ANDERSON","accord"
"Texeurop (BD) Ltd.","accord"
"TexTech Co. Ltd","accord"
"Textile Horizon","accord"
"Textile trade & services manufacturing Ltd. Dilan Complex, 1st & 2nd fl., Dhaka Road,","accord"
"TEXTOWN LIMITED","accord"
"Packaging & Printing Ltd.","accord"
"Thanis Apparels Ltd","accord"
"THAT'S IT KNIT","accord"
"That's It Sports Wear Ltd.","accord"
"The Chittagong Fashion","accord"
"The Cloth & Fashion","accord"
"The Delta Composite Knitting","accord"
"The Fashion Island Ltd.","accord"
"THE FINERY LİMİTED","accord"
"The Immaculate App. Ltd.","accord"
"The Immaculate PVT Ltd.","accord"
"The Mohammadi Limited (Joar Sahara)","accord"
"THE NEED APPARELS (PVT) LTD","accord"
"International Trading)","accord"
"The New Delta Apparels Ltd.","accord"
"The Rose Dresses Ltd.","accord"
"The Shanin Clothing Limited","accord"
"The Shanin Corp","accord"
"Trading)","accord"
"The Shanin Ltd","accord"
"THE WELL TEX LTD","accord"
"The Yolk Garments Ltd","accord"
"Thina Sweaters ltd","accord"
"Tiffinys Wear Limited.,","accord"
"Titanic Products Limited","accord"
"Titas Knitwear Ltd","accord"
"Titas Sweater Industries Limited","accord"
"TM FASHIONS LTD","accord"
"T‐Mart Computerised Sweater Ltd.","accord"
"TNZ Apparels Ltd.","accord"
"Todays Knit Fashion","accord"
"Tokio Mode Ltd","accord"
"Top Style Sweater Ltd","accord"
"TOPAZ","accord"
"Topaz Dresses Limitted","accord"
"Topaz Garments Ltd.","accord"
"Torque Fashions Ltd","accord"
"Tory Fashion Wear Ltd","accord"
"Tosrifa Industries Ltd.","accord"
"Total Fashion Ltd.","accord"
"Toyo Composite Knit Garments","accord"
"Trade sweater Factory ltd","accord"
"Transworld Sweater Ltd.","accord"
"TRICOTEX SWEATERS LTD","accord"
"TRIPPLE SEVEN","accord"
"TROPICA GARMENTS LTD","accord"
"Trouser Line Ltd.","accord"
"Trouser World (PVT) LTD.","accord"
"Trust Knitwear Industries Ltd.","accord"
"TRUST TROUSER","accord"
"TRYBE FASHION LTD(Bodystretch)","accord"
"TRZ GARMENTS INDUSTRY LTD.","accord"
"TS Sweater Ltd.","accord"
"T‐Shirt Fashion Ltd.","accord"
"TTS MANUFACTURING LTD","accord"
"Tuba Garments Ltd.","accord"
"TULIP GARMENTS LTD ( CONCORD GROUP) 52, NEW ELEPHANT ROAD, DHAKA","accord"
"Tung Hai Knitting & Dyeing Ltd","accord"
"Tung Hai Sweaters Limited","accord"
"TUNIC FASHION LTD","accord"
"Turag Garments Hosiery Mills Ltd","accord"
"Tusaka","accord"
"TUSUKA APPARELS LTD","accord"
"TUSUKA FASHION LTD","accord"
"TUSUKA JEANS & POLO LTD","accord"
"TUSUKA JEANS LTD","accord"
"TUSUKA TROUSERS LTD","accord"
"Tusuka Trousers*Jeans*Processing Ltd","accord"
"Uday Sweaters Ltd","accord"
"UNIBRA WEAR LTD.","accord"
"Bhangnahati,Sreepur,Gazipur‐1740","accord"
"Unilliance Textiles Limited","accord"
"Union Apparels Ltd","accord"
"Union Fashion","accord"
"Union Knitwear Ltd.","accord"
"Union Sportswear Ltd.","accord"
"Union Sportswear Ltd. (Bypile Unit)","accord"
"Unisense App.Ltd.","accord"
"Unison Design Limited","accord"
"United Apparel Industry Ltd. Unit 1House No. 65, G.M. Bari, Satarkul Road North,","accord"
"United Apparel Industry Ltd. Unit 2House No. 20, Block B, Ward 5, Shaheed Minnat,","accord"
"United Attires Ltd.","accord"
"United Costume (Pvt) Ltd.","accord"
"United Duying","accord"
"United Fashion Trouser Ltd.","accord"
"United Knitwears (pvt) Ltd.","accord"
"Unitex Knit Wear Ltd","accord"
"Unitrade Fashions Ltd.","accord"
"Universal Jeans Ltd","accord"
"UNIVERSAL MENSWEAR LTD","accord"
"Univogue Garments Co. Ltd.","accord"
"UPDATE APPARELS LTD.","accord"
"Update Fashions Ltd","accord"
"URMI GARMENTS LTD","accord"
"UTAH APPARELS LTD","accord"
"UTAH Fashions Ltd","accord"
"UTAH KNITTING AND DYEING LTD.","accord"
"Uttara Knitwears Ltd","accord"
"Valmont Fashions Ltd.","accord"
"VANCOT LIMITED.","accord"
"Vartual Knitwear Ltd.","accord"
"VERSATILE APPARELS LTD","accord"
"Versatile Textiles Ltd.","accord"
"VERTEX FASHION LTD","accord"
"VERTEX INNOVATIVE APPARELS LTD","accord"
"Vertex RMG Division","accord"
"Vertex Wear Limited.","accord"
"Victory Knittings Ltd","accord"
"Vintage Denim Ltd.","accord"
"Vintage Denim Studio Ltd.","accord"
"Vintage Garments Ltd","accord"
"Virtual Bottoms Ltd.","accord"
"Virtual Fashions Ltd.","accord"
"Virtual Knit and Leisurewear Ltd","accord"
"VISION APPARELS (PVT) LTD","accord"
"Vision Composite Knite Ltd.","accord"
"Vision Garments Ltd.","accord"
"Visual Knitwares Ltd.","accord"
"Viyellatex Limited","accord"
"Viyellatex Limited ‐ Unit 2Shirin Chowdhury Complex, Vogra, Joydevpur","accord"
"V‐Knitwear & Composite Ltd.","accord"
"Voyager Apparels Ltd","accord"
"W Apparels","accord"
"Waltz Fashions","accord"
"Wave Tex Apparels Ltd","accord"
"Wear Mag Limited","accord"
"BANGLADESH.","accord"
"Wega Stylewise (pvt)Ltd.","accord"
"Weldone Apparel Ltd","accord"
"Welform Apparels Ltd.","accord"
"WELL DESIGNERS LTD.","accord"
"WELL DRESSES LIMITED","accord"
"WELL FASHION LIMITED","accord"
"WELL MART LIMITED","accord"
"Welldone","accord"
"West Knitwear Ltd.","accord"
"Williams Clothing","accord"
"Williams Sweaters Ltd.","accord"
"WINDY APPARELS LTD","accord"
"Winner Wears Limited.","accord"
"Winter Dress Limited","accord"
"WINTEX FASHIONWEAR LTD","accord"
"Wisteria Textiles Ltd.","accord"
"Wool tex sweaters ltd","accord"
"Woolen & Wool Limited","accord"
"World Victory Garments Ltd.","accord"
"Yasin Knittex Ind. Ltd","accord"
"YK KNITWEAR LIMITED","accord"
"Young 4 Ever","accord"
"Young International","accord"
"YOUNGONE BD LTD","accord"
"Your Fashion Sweater Limited.","accord"
"Youth Fashion Ltd.","accord"
"YOUTH GROUP","accord"
"Zaara Composite Textiles Ltd.","accord"
"Zaara Jeans & Knitwear Ltd.","accord"
"Zaber & Zubair Fabrics","accord"
"Zahintex Industries Limited, Unit ‐ 09","accord"
"Zahintex Industries Ltd.","accord"
"Zahintex Industries Ltd. Unit 5/6","accord"
"Zayantex Limited","accord"
"Zeysha Fashion Wear Ltd","accord"
"Zon Ron Sweaters Ltd.","accord"
"Zoom Sweaters Ltd","accord"
"Zxy apparel manufacturing ltd.","accord"
"Zyta Apparels Ltd.","accord"
"Desh Garments Ltd","BGMEA"
"Baishaki Garments Ltd.","BGMEA"
"Reaz Garments Ltd.","BGMEA"
"Ashraf Garments (Pvt.) Ltd.","BGMEA"
"Continental Garments Inds. (Pvt) Ltd.","BGMEA"
"Paris Garments (Pvt). Ltd.","BGMEA"
"Beauty Garments (Pvt) Ltd.","BGMEA"
"Central Garments Industry Ltd.","BGMEA"
"Concorde Garments Ltd.","BGMEA"
"Smart Apparels (Pte) Limited","BGMEA"
"Elite Garments Inds. Ltd.","BGMEA"
"Khalil Garments Ltd.","BGMEA"
"Jupiter Readymade Garments Ltd.","BGMEA"
"Lucky Garments Inds. (Pvt) Ltd. (U-1)","BGMEA"
"Basundhara Garments Ltd.","BGMEA"
"Jeans Manufacturing Company Ltd.","BGMEA"
"Abedin Garments Ltd.","BGMEA"
"Stylecraft Ltd.","BGMEA"
"Shoronika Garments Ltd.","BGMEA"
"Brothers Garments Ltd.","BGMEA"
"Areana Garments Ltd","BGMEA"
"Kazi Fashion Ltd.","BGMEA"
"Evince Garments Ltd.","BGMEA"
"Society Garments Industries Ltd.","BGMEA"
"Shahtex Garment Industries Ltd.","BGMEA"
"Moazzem Garment Inds. Ltd.","BGMEA"
"Shagore Garments Ltd.","BGMEA"
"Smart Fashion International Ltd.","BGMEA"
"ABC Garments Ltd","BGMEA"
"MBM Garments Ltd.","BGMEA"
"B.P. Garments Ltd.","BGMEA"
"Milliner Garments Ltd.","BGMEA"
"Pusan Bangladesh Ltd.","BGMEA"
"AFCO Abedin Garments Ltd.","BGMEA"
"Astras Garments Ltd","BGMEA"
"Z.I. Apparels Ltd.","BGMEA"
"Uttaran Garments Ltd.","BGMEA"
"Arrow Apparels Ltd.","BGMEA"
"Medallion Garments Ltd.","BGMEA"
"AG's Apparels Ltd","BGMEA"
"Ali Garments Ltd.","BGMEA"
"Allied Garments Ltd.","BGMEA"
"Alpine Limited (Gmt. Div.)","BGMEA"
"Kumudini Garments","BGMEA"
"Banga Garments Ltd.","BGMEA"
"Birds Garments Ltd.","BGMEA"
"Beximco Apparels Ltd.","BGMEA"
"Mark Garments Inds. Ltd.","BGMEA"
"Deluxe Garment Industries Ltd.","BGMEA"
"Dressmen Ltd.","BGMEA"
"Misami Garments Ltd.","BGMEA"
"Essential Garments Ltd.","BGMEA"
"N.A. Garments Ltd.","BGMEA"
"GEM Apparels Ltd.","BGMEA"
"Newage Garments Ltd.","BGMEA"
"Nippon Garment Inds. Ltd.","BGMEA"
"Greenville Apparels Ltd.","BGMEA"
"Jokky Garments Ltd.","BGMEA"
"Pearl Garments Company Ltd.","BGMEA"
"Prime Garments Ltd.","BGMEA"
"Consumer Products Limited","BGMEA"
"Continental Apparels Ltd.","BGMEA"
"Leader Garments Ltd.","BGMEA"
"Dekko Garments Ltd.","BGMEA"
"Raymond Garments (Pvt.) Ltd.","BGMEA"
"Majumder Garments Ltd.","BGMEA"
"National Apparel Co. Ltd.","BGMEA"
"Orbital Garments Ltd.","BGMEA"
"Duke Garments Limited","BGMEA"
"Palmal Garments Ltd.","BGMEA"
"Saminaz Garments Ltd.","BGMEA"
"Shanta Garments Ltd.","BGMEA"
"Rishal Garments Ltd.","BGMEA"
"Sidko Ltd. (Garments Division)","BGMEA"
"Islam Garments Ltd.","BGMEA"
"Sparrow Apparels Ltd.","BGMEA"
"Star Garments (Pvt.) Ltd.","BGMEA"
"Sundarban Garments","BGMEA"
"Evana Garments Ltd.","BGMEA"
"Opex Garments Ltd.","BGMEA"
"Fortuna Apparels Ltd.","BGMEA"
"Stylo Apparels Industries Ltd.","BGMEA"
"Hexa Garments (Pvt) Ltd.","BGMEA"
"United Readywears Ltd.","BGMEA"
"Tropica Garments Ltd.","BGMEA"
"Aziz Super Garments Ltd.","BGMEA"
"World Victory Garments Ltd.","BGMEA"
"Youth Garments Ltd.","BGMEA"
"Fairy Fashion Ltd.","BGMEA"
"Giant Garment Inds.(Pvt) Ltd.","BGMEA"
"Burlingtons Limited","BGMEA"
"Garb International Ltd.","BGMEA"
"Choudhury Apparels (Pvt) Ltd.","BGMEA"
"Crest Garments Ltd.","BGMEA"
"Hollywood Fashions (Pvt) Ltd.","BGMEA"
"International Garments Ltd.","BGMEA"
"Dird Garments Ltd.","BGMEA"
"Mavis Garments Ltd.","BGMEA"
"Moonlight Garments Ltd.","BGMEA"
"Southern Garments Ltd.","BGMEA"
"Ishita Garments","BGMEA"
"Sportex & Apparels (Pvt.) Ltd.","BGMEA"
"Suravee Garments Ltd.","BGMEA"
"Lovecraft Garments (Pvt.) Ltd.","BGMEA"
"N.N. Garments Ltd.","BGMEA"
"Ornob Garments Ltd.","BGMEA"
"Prince Garments (Pvt). Ltd.","BGMEA"
"Pinaki Garments Ltd.","BGMEA"
"Wave Fashion Garments Ltd.","BGMEA"
"The Yolk Garments Ltd.","BGMEA"
"Zafar Enterprises (Pvt) Ltd.","BGMEA"
"Shaarat Fashion Wear Ltd.","BGMEA"
"Mohammadi Apparels Ltd.","BGMEA"
"Sapphire Garments Ltd.","BGMEA"
"B.F.B. Garments (Pvt.) Ltd.","BGMEA"
"NAZ Apparel Exports Ltd.","BGMEA"
"Favourite Garments Ltd.","BGMEA"
"Titash Garments International Ltd.","BGMEA"
"Wills Garments Ltd.","BGMEA"
"Dolphin Garments (Pvt) Ltd.","BGMEA"
"KKK Garments Ltd.","BGMEA"
"Capital Garments Ltd.","BGMEA"
"Setara Garments Ltd.","BGMEA"
"Suman Fashion Garments Ltd.","BGMEA"
"Blue Bird Garments (Pvt) Ltd.","BGMEA"
"Mascot Garments Ltd.","BGMEA"
"Jeacon Garments Ltd.","BGMEA"
"Posh Garments Ltd.","BGMEA"
"Aleef Fashion Wear Ltd.","BGMEA"
"Excel Apparels Ltd.","BGMEA"
"Apollo Garments Inds. (Pvt.) Ltd.","BGMEA"
"Ha-Meem Fashions Ltd.","BGMEA"
"Medona Garments Ltd.","BGMEA"
"Noami Dresses Ltd.","BGMEA"
"Gemini Garments Ltd.","BGMEA"
"Sharaka Industries Ltd.","BGMEA"
"Sun Bird Garments Ind. (Pvt.) Ltd.","BGMEA"
"Shoronika Fashion Wear Inds. Ltd.","BGMEA"
"Fashions Ltd.","BGMEA"
"Associated Garments Ltd","BGMEA"
"City Apparels Int. Ltd.","BGMEA"
"Paradise Fashions (Pvt). Ltd.","BGMEA"
"J.B. Garments Ltd.","BGMEA"
"Roma Garments & Textiles (Pvt) Ltd.","BGMEA"
"Tulip Garments Ltd.","BGMEA"
"Russel Garments","BGMEA"
"Miswar Hosiery Mills (P) Ltd.","BGMEA"
"Master Garments Ltd.","BGMEA"
"Milan Apparels Ltd.","BGMEA"
"Envoy Garments Ltd.","BGMEA"
"Eve Garments Ltd.","BGMEA"
"Sterling Garments Ltd.","BGMEA"
"Evershine Ltd.","BGMEA"
"Sincere Garments Ltd.","BGMEA"
"The Dacca Dying Garments Ltd.","BGMEA"
"Rouf & Brothers Garments Ltd.","BGMEA"
"Melody Garments Ltd.","BGMEA"
"Uranus Apparel (Pvt.) Ltd.","BGMEA"
"Crescent Trade Intl. Ltd.","BGMEA"
"Seven Seas Garments Ltd.","BGMEA"
"Asha Garments Ltd","BGMEA"
"Hamid & Sons Ltd","BGMEA"
"Atlantic Garments Ltd.","BGMEA"
"Orchid Garments Ltd.","BGMEA"
"Miami Garments","BGMEA"
"Cambridge Garments Ltd.","BGMEA"
"The Immaculate (Pvt.) Ltd.","BGMEA"
"The Best Denim Apparel Ltd. (Unit-1)","BGMEA"
"General Garments Ltd.","BGMEA"
"Aukson Garments Ltd.","BGMEA"
"Levies Garments (Pvt). Ltd.","BGMEA"
"Desh Bangla Fashions Ltd.","BGMEA"
"Shanta Garments Int'l Ltd.","BGMEA"
"Seamens Garments Ltd.","BGMEA"
"Sun Garments","BGMEA"
"Binni Garments Ltd","BGMEA"
"Medlar Garments Ltd.","BGMEA"
"East West Fashion Garments Ltd.","BGMEA"
"Rupashi Garments Ltd.","BGMEA"
"Garmex Limited","BGMEA"
"Dawn Garments And Textiles Ltd.","BGMEA"
"Global Fashion Garments Ltd.","BGMEA"
"The 'M' Garment Inds. (Pvt.) Ltd.","BGMEA"
"Jako Garments","BGMEA"
"Ehsan Garments Ltd.","BGMEA"
"Chemisere (Pvt) Ltd.","BGMEA"
"Voyager Garments Ltd.","BGMEA"
"Ayesha Enterprise (Garments) Ltd.","BGMEA"
"Utah Garments Ltd.","BGMEA"
"Gemmy Garments Ltd.","BGMEA"
"Aparupa Garments Inds. Ltd","BGMEA"
"Beat Garments Ltd.","BGMEA"
"Simco Bangladesh Ltd.","BGMEA"
"Savar Garments Ltd.","BGMEA"
"Fashrobe Garments Ltd.","BGMEA"
"World Fashions Ltd.","BGMEA"
"Azim & Sons (Pvt.) Ltd.","BGMEA"
"Century Fashion Wear (Pvt) Ltd.","BGMEA"
"Prince Fashionwear Ltd.","BGMEA"
"Doreen Garments Ltd.","BGMEA"
"Urmi Garments Ltd.","BGMEA"
"Dalia Garments Ltd.","BGMEA"
"Alif Garments Ltd","BGMEA"
"Jaycee Fashions (Pvt.) Ltd.","BGMEA"
"Jonaki Garments Ltd.","BGMEA"
"Swan Garments (Pvt.) Ltd.","BGMEA"
"Rene And Shelley Ltd.","BGMEA"
"Dhaka Continental Garments Ltd.","BGMEA"
"Brothers Fashion Limited","BGMEA"
"Babylon Garments Limited","BGMEA"
"Novel Garments Inds. Ltd.","BGMEA"
"Solar Garments (Pvt) Ltd.","BGMEA"
"Excelsior Garments Ltd.","BGMEA"
"Titan Apparels Ltd.","BGMEA"
"The Rose Garments Intl. (Pvt.) Ltd.","BGMEA"
"Saleha Garments Ltd.","BGMEA"
"Panorama Garments Ltd.","BGMEA"
"Speedwell Ltd.","BGMEA"
"Amco Fashions Ltd.","BGMEA"
"Zyta Garments","BGMEA"
"Dawn Garments Limited","BGMEA"
"Easy Wear","BGMEA"
"Cheung Hing Sweater (BD) Ltd.","BGMEA"
"Sepal Garments Ltd.","BGMEA"
"Azim Garments Ltd.","BGMEA"
"Boston Garments Ind.(Pvt) Ltd.","BGMEA"
"Shamoli Garments Ltd.","BGMEA"
"Nadia Garments Ltd.","BGMEA"
"New Season Garments Ltd.","BGMEA"
"Western & Eastern Apparels Ltd.","BGMEA"
"The Silver Garments Bangladesh Ltd.","BGMEA"
"H.A. Garments Inds. Ltd.","BGMEA"
"Anupam Apparels (Pvt.) Ltd.","BGMEA"
"Esquire Fashion Ltd.","BGMEA"
"Lucky Garments Inds. (Pvt) Ltd. (U-2)","BGMEA"
"Shah Makhdum Garments Ltd.","BGMEA"
"Padma Satel Arab Apparels Ltd.","BGMEA"
"K.R.K. Garments Ltd.","BGMEA"
"The New Rose Garments (Pvt) Ltd.","BGMEA"
"Minar Textiles (Garments Div.)","BGMEA"
"Wisdom Attires Ltd.","BGMEA"
"Fairmen Limited","BGMEA"
"Columbia Garments Ltd.","BGMEA"
"Probal Garments Ltd.","BGMEA"
"S. Nahar Garments & Textile Mills Ltd.","BGMEA"
"Monowara Textile Mills Ltd.","BGMEA"
"Perag Sock Inds. Ltd.","BGMEA"
"Falcon International","BGMEA"
"Ruhila Garments","BGMEA"
"Basic Apparels Ltd.","BGMEA"
"Fashion Trousers Ltd.","BGMEA"
"New Modern Garments Industry Ltd.","BGMEA"
"Supreme Fashion Wear Ltd.","BGMEA"
"Universal Textile Alliance Ltd. (U-2)","BGMEA"
"S. Sultana Garments Ltd.","BGMEA"
"Pritha Apparels Ltd.","BGMEA"
"Brothers Knitwear Ltd.","BGMEA"
"Palash Garments Ltd.","BGMEA"
"Diplomat Garments (Pvt) Ltd.","BGMEA"
"Paris Knitting (Pvt) Ltd.","BGMEA"
"Fashion House (Southern) Ltd.","BGMEA"
"Unitech Fashions Ltd.","BGMEA"
"Nova Apparels","BGMEA"
"Prostar Industrial Co. Ltd.","BGMEA"
"KND Garments & Hosiery","BGMEA"
"Raz Knitting Apparel Ltd.","BGMEA"
"Latest Garments Ltd.","BGMEA"
"Cotton N Cotton Garments Inds. Ltd.","BGMEA"
"Ahmed Fashions","BGMEA"
"Inter-Knit","BGMEA"
"Dhaka Knitting Ltd.","BGMEA"
"Green Knit Wear","BGMEA"
"The Finery Ltd.","BGMEA"
"Karnaphuli Fabrics Ltd.","BGMEA"
"Wintex Apparels Ltd.","BGMEA"
"Mascot Fashions Ltd.","BGMEA"
"Europa Apparels Ltd.","BGMEA"
"Sikder Apparel Ltd.","BGMEA"
"Poshak Limited","BGMEA"
"Times Apparel","BGMEA"
"Dragon Sweater (BD) Ltd.","BGMEA"
"Ha-Meem Apparels","BGMEA"
"Asha Fashions Limited","BGMEA"
"Thats' It Fashions Ltd.","BGMEA"
"Sinha Apparels Ltd.","BGMEA"
"Honeywell Garments Ltd.","BGMEA"
"Space Garments Industry Ltd.","BGMEA"
"World Mart Fashion Ltd.","BGMEA"
"K. Mart Fashion Ltd.","BGMEA"
"Eham Garments","BGMEA"
"Superman Garments Ltd.","BGMEA"
"Zahan Garments (Pvt.) Ltd.","BGMEA"
"Armour Garments Ltd.","BGMEA"
"Interwing Knit Wears Ltd.","BGMEA"
"The National Apparels Ltd.","BGMEA"
"Modern Garments Ltd.","BGMEA"
"Miswar Hosiery Mills (P) Ltd. (H.D)","BGMEA"
"Sunmoon Apparels Ltd.","BGMEA"
"Friends Knittings Ltd.","BGMEA"
"Kalam Knitwork Limited","BGMEA"
"Union Apparel Ltd.","BGMEA"
"Ornate Knit Garment Industries Ltd.","BGMEA"
"Farha Apparels Ltd.","BGMEA"
"United Shirts Ltd.","BGMEA"
"Al-Hamra Garments Ltd.","BGMEA"
"Mustaque Fashion Wear","BGMEA"
"Recent Garment and Kniting Inds. Ltd.","BGMEA"
"Oriental Knitwears Ltd.","BGMEA"
"Bengal Knittex Ltd.","BGMEA"
"Starlight Knitwears Ltd.","BGMEA"
"Bangladesh Knitwear Ltd.","BGMEA"
"Antler Apparels Ltd.","BGMEA"
"Smart Dress Ltd.","BGMEA"
"Rahman Apparels","BGMEA"
"Dada (Dhaka) Ltd.","BGMEA"
"Bright Apparels Ltd.","BGMEA"
"Regal Garments Ltd.","BGMEA"
"Jamuna Fashion Wears Ltd.","BGMEA"
"May Fashion Ltd.","BGMEA"
"The Shanin Corporation Ltd.","BGMEA"
"Epoch Garments Ltd.","BGMEA"
"Gitano Apparels Ltd.","BGMEA"
"Rhine Garments (Pvt) Ltd.","BGMEA"
"Export Knitwear Ltd.","BGMEA"
"Epcot International Ltd.","BGMEA"
"Vega Garments Ltd.","BGMEA"
"Pubali Fashion and Knitwears Ltd.","BGMEA"
"Golden Ducks Apparels Ltd.","BGMEA"
"Applique Fashionwear Ltd.","BGMEA"
"Alliance Garments Ltd.","BGMEA"
"Hamid Apparels Ltd.","BGMEA"
"Jamuna Knit Fashion Ltd.","BGMEA"
"Diana Garments (Pvt.) Ltd.","BGMEA"
"Sakura Garments Ltd.","BGMEA"
"Radiant Apparel","BGMEA"
"Florescent Apparels Ltd.","BGMEA"
"J.K. Fashions Ltd.","BGMEA"
"Roxana & Company (Pvt.) Ltd.","BGMEA"
"Balaka Knitwear & Garments(Pvt) Ltd","BGMEA"
"Lovely Apparels Limited","BGMEA"
"Sunsuie Apparels (Pvt.) Ltd.","BGMEA"
"Miti Apparels Limited","BGMEA"
"Unimpex Apparels Ltd.","BGMEA"
"Prostar Apparels Ltd.","BGMEA"
"Karim Textiles Ltd.","BGMEA"
"Niponika Garments Ltd.","BGMEA"
"Fashion Enterprise","BGMEA"
"Kanak Impex","BGMEA"
"Bay Pacific Enterprise Ltd.","BGMEA"
"Medona Fashions Ltd.","BGMEA"
"Hollywood Garments (Pvt.) Ltd.","BGMEA"
"Wayne Apparels Ltd.","BGMEA"
"Rowshan Enterprises Ltd.","BGMEA"
"Doreen Fashion Limited","BGMEA"
"Orbitex Knitwear Ltd.","BGMEA"
"Shadli International Ltd.","BGMEA"
"Rupa Sweater (Pvt.) Ltd.","BGMEA"
"Noami Apparels Limited","BGMEA"
"Lancia Knitwears Ltd.","BGMEA"
"Export Connection Ltd.","BGMEA"
"Alps Apparels Ltd.","BGMEA"
"Friends Fashion","BGMEA"
"Anika Garments (Pvt.) Ltd.","BGMEA"
"Bellissima Apparels Ltd.","BGMEA"
"Khan Apparels Ltd.","BGMEA"
"J.K.K. Apparels Ltd.","BGMEA"
"Interconnection Sports Wear","BGMEA"
"Faa Apparels Ltd.","BGMEA"
"Clamoon Garments Ltd.","BGMEA"
"Panorama Apparels Ltd.","BGMEA"
"Anupam Hosiery Inds (Pvt) Ltd.(Gar.Div.)","BGMEA"
"Dulal Brothers Ltd.","BGMEA"
"Young Apparels Ltd.","BGMEA"
"Austin Apparel (Pvt) Ltd.","BGMEA"
"Enayet Garments Ltd.","BGMEA"
"Lufa Garments Ltd.","BGMEA"
"Shahnawaz & Brothers Ltd. (Garment Div)","BGMEA"
"G.M. Establishment (Pvt) Ltd.","BGMEA"
"D.Z. Garments Ltd.","BGMEA"
"Hypoid Fashions Ltd.","BGMEA"
"M R H Garments Ltd.","BGMEA"
"Milestone Garments Ltd.","BGMEA"
"Mita Fashions Ltd.","BGMEA"
"Goldstar Garments Ltd.","BGMEA"
"Styline Knitting Inds. (Pvt.) Ltd.","BGMEA"
"Bakul Apparels Ltd.","BGMEA"
"Jamuna Apparels Ltd.","BGMEA"
"Jaycee's Apparels Ltd.","BGMEA"
"New Wave Apparel Ltd.","BGMEA"
"Skyline Garments Ltd.","BGMEA"
"Wills Fashions Ltd.","BGMEA"
"Noba Textiles Limited","BGMEA"
"Dreamwears Limited","BGMEA"
"Cherry (Pvt) Ltd.","BGMEA"
"Southern Services Ltd.","BGMEA"
"Excel Industries Ltd.","BGMEA"
"Debonair Ltd.","BGMEA"
"Taj Apparels Ltd.","BGMEA"
"Vase Apparels Ltd.","BGMEA"
"Expotex Fashion Ltd.","BGMEA"
"Parents Garments Ltd.","BGMEA"
"Samrana Enterprise Ltd.","BGMEA"
"Anam Garments Ltd.","BGMEA"
"Anannya Fashions Ltd.","BGMEA"
"Brightways International Co. Ltd.","BGMEA"
"Nice Knitting Apparels Ltd.","BGMEA"
"New World Apparels Ltd.","BGMEA"
"Coast To Coast (Pvt) Ltd.","BGMEA"
"Lucky Star Apparels Ltd.","BGMEA"
"Supreme Apparels Ltd.","BGMEA"
"Albion Apparels Ltd.","BGMEA"
"Benson Apparels Ltd.","BGMEA"
"R.R. Fashions Ltd.","BGMEA"
"Europe Apparels Limited","BGMEA"
"Rahil Knitters Ltd.","BGMEA"
"A.B.M. Fashions Ltd.","BGMEA"
"Quality Apparels","BGMEA"
"City Designer International Ltd.","BGMEA"
"New Fashions Ltd.","BGMEA"
"Forward Garments Ltd.","BGMEA"
"Texport Limited","BGMEA"
"Step Two Apparels Ltd.","BGMEA"
"Shasha Garments Ltd.","BGMEA"
"Prince Knitwear Ltd.","BGMEA"
"Al-Islam Apparels Ltd.","BGMEA"
"Alpha Knitting Wear Ltd.","BGMEA"
"The Mohammadi Ltd.","BGMEA"
"My Choice Enterprise Ltd.","BGMEA"
"Creative Fashion Garments","BGMEA"
"S.B. Fashion Garments Ltd.","BGMEA"
"Alps Wear Ltd.","BGMEA"
"Seaways Garments Ltd.","BGMEA"
"Bari Apparels Ltd.","BGMEA"
"Amazan Garments Ltd.","BGMEA"
"Dekko Apparels Ltd.","BGMEA"
"S.F. Apparels Ltd.","BGMEA"
"Zenith Fashions Ltd.","BGMEA"
"United Apparels Industry Ltd.","BGMEA"
"Renuka Knit Fashions","BGMEA"
"Eastern Garments Ltd.","BGMEA"
"Gold Star Fashions Ltd.","BGMEA"
"AAA Fashions (Pvt) Ltd.","BGMEA"
"Mika Apparels Ltd.","BGMEA"
"Milan Clothings Ltd.","BGMEA"
"Nouvelle Garments Ltd.","BGMEA"
"Deluxe Apparels Ltd.","BGMEA"
"All Weather Fashions Ltd.","BGMEA"
"Blue-Bell Knitting & Processing Inds.Ltd","BGMEA"
"Simco Fashions Ltd.","BGMEA"
"Mahin Apparels Ltd.","BGMEA"
"Hossains Ltd. (Unit-3)","BGMEA"
"Harvest Rich Ltd.","BGMEA"
"Glossy Apparel (Pvt) Ltd.","BGMEA"
"Apparel Fair (Pvt) Ltd.","BGMEA"
"Omega Knitting & Fashion Wear Ltd.","BGMEA"
"Amity Apparels Ltd.","BGMEA"
"Ashraf Fashions Ltd.","BGMEA"
"Mantrust Fashion Ltd.","BGMEA"
"Western Dresses Ltd.","BGMEA"
"Ananta Apparels Ltd.","BGMEA"
"Miahco Ltd.","BGMEA"
"Globus Garment Ltd.","BGMEA"
"Vertex Fashion Ltd.","BGMEA"
"Vertex Wear Ltd.","BGMEA"
"Pragati Fashionwear Ltd.","BGMEA"
"Ying Ming International Ltd.","BGMEA"
"A.B.C. Attire Ltd.","BGMEA"
"Birds Apparels Ltd.","BGMEA"
"Cannon Garments Ltd.","BGMEA"
"Oorvasi Apparels Ltd.","BGMEA"
"Sonargaon Garments (Pvt.) Ltd. (U-2)","BGMEA"
